"","DayOfWeek","Date","Sales","StateHoliday","SchoolHoliday","InventoryStart","NextDay","InventoryFinal"
"1",2,"2013-01-01",5,"a",1,14,7,0
"2",3,"2013-01-02",7,"0",1,15,7,0
"3",4,"2013-01-03",6,"0",1,10,7,0
"4",5,"2013-01-04",6,"0",1,11,7,0
"5",6,"2013-01-05",6,"0",0,5,7,0
"6",7,"2013-01-06",11,"0",0,9,7,0
"7",6,"2013-01-12",6,"0",0,13,7,0
"8",7,"2013-01-13",11,"0",0,16,7,0
"9",1,"2013-01-14",6,"0",0,10,7,0
"10",2,"2013-01-15",6,"0",0,12,7,0
"11",3,"2013-01-16",6,"0",0,15,7,0
"12",4,"2013-01-17",5,"0",0,11,7,0
"13",5,"2013-01-18",6,"0",0,15,7,0
"14",6,"2013-01-19",6,"0",0,11,7,0
"15",7,"2013-01-20",12,"0",0,14,7,0
"16",6,"2013-01-26",7,"0",0,9,7,0
"17",7,"2013-01-27",8,"0",0,12,7,0
"18",1,"2013-01-28",6,"0",0,12,7,0
"19",2,"2013-01-29",6,"0",0,7,7,0
"20",3,"2013-01-30",6,"0",0,14,7,0
"21",4,"2013-01-31",7,"0",0,16,7,0
"22",5,"2013-02-01",6,"0",0,5,7,0
"23",6,"2013-02-02",7,"0",0,5,7,0
"24",7,"2013-02-03",14,"0",0,11,7,0
"25",6,"2013-02-09",6,"0",0,11,7,0
"26",7,"2013-02-10",12,"0",0,12,7,0
"27",1,"2013-02-11",6,"0",0,12,7,0
"28",2,"2013-02-12",6,"0",0,11,7,0
"29",3,"2013-02-13",6,"0",0,15,7,0
"30",4,"2013-02-14",6,"0",0,11,7,0
"31",5,"2013-02-15",6,"0",0,7,7,0
"32",6,"2013-02-16",6,"0",0,8,7,0
"33",7,"2013-02-17",12,"0",0,9,7,0
"34",6,"2013-02-23",6,"0",0,14,7,0
"35",7,"2013-02-24",11,"0",0,15,7,0
"36",1,"2013-02-25",6,"0",0,5,7,0
"37",2,"2013-02-26",5,"0",0,16,7,0
"38",3,"2013-02-27",6,"0",0,14,7,0
"39",4,"2013-02-28",6,"0",0,8,7,0
"40",5,"2013-03-01",7,"0",0,14,7,0
"41",6,"2013-03-02",7,"0",0,6,7,0
"42",7,"2013-03-03",14,"0",0,14,7,0
"43",6,"2013-03-09",6,"0",0,8,7,0
"44",7,"2013-03-10",11,"0",0,11,7,0
"45",1,"2013-03-11",6,"0",0,14,7,0
"46",2,"2013-03-12",6,"0",0,9,7,0
"47",3,"2013-03-13",5,"0",0,13,7,0
"48",4,"2013-03-14",6,"0",0,5,7,0
"49",5,"2013-03-15",6,"0",0,14,7,0
"50",6,"2013-03-16",6,"0",0,10,7,0
"51",7,"2013-03-17",13,"0",0,13,7,0
"52",6,"2013-03-23",6,"0",0,16,7,0
"53",7,"2013-03-24",12,"0",0,8,7,0
"54",6,"2013-03-30",7,"0",0,16,7,0
"55",7,"2013-03-31",9,"0",0,5,7,0
"56",1,"2013-04-01",13,"b",1,15,7,0
"57",2,"2013-04-02",7,"0",1,13,7,0
"58",3,"2013-04-03",6,"0",1,11,7,0
"59",4,"2013-04-04",6,"0",1,5,7,0
"60",5,"2013-04-05",6,"0",1,8,7,0
"61",6,"2013-04-06",6,"0",0,9,7,0
"62",7,"2013-04-07",11,"0",0,8,7,0
"63",6,"2013-04-13",6,"0",0,14,7,0
"64",7,"2013-04-14",11,"0",0,5,7,0
"65",1,"2013-04-15",6,"0",0,14,7,0
"66",2,"2013-04-16",6,"0",0,10,7,0
"67",3,"2013-04-17",6,"0",0,7,7,0
"68",4,"2013-04-18",5,"0",0,13,7,0
"69",5,"2013-04-19",6,"0",0,9,7,0
"70",6,"2013-04-20",6,"0",0,15,7,0
"71",7,"2013-04-21",12,"0",0,5,7,0
"72",6,"2013-04-27",5,"0",0,10,7,0
"73",7,"2013-04-28",12,"0",0,9,7,0
"74",6,"2013-05-04",6,"0",0,16,7,0
"75",7,"2013-05-05",8,"0",0,11,7,0
"76",1,"2013-05-06",6,"0",0,11,7,0
"77",2,"2013-05-07",7,"0",0,7,7,0
"78",3,"2013-05-08",7,"0",0,9,7,0
"79",4,"2013-05-09",12,"a",0,5,7,0
"80",5,"2013-05-10",7,"0",1,8,7,0
"81",6,"2013-05-11",6,"0",0,9,7,0
"82",7,"2013-05-12",12,"0",0,9,7,0
"83",6,"2013-05-18",7,"0",0,14,7,0
"84",7,"2013-05-19",12,"0",0,13,7,0
"85",1,"2013-05-20",14,"a",0,5,7,0
"86",2,"2013-05-21",7,"0",1,8,7,0
"87",3,"2013-05-22",7,"0",0,16,7,0
"88",4,"2013-05-23",6,"0",0,6,7,0
"89",5,"2013-05-24",7,"0",0,13,7,0
"90",6,"2013-05-25",7,"0",0,10,7,0
"91",7,"2013-05-26",13,"0",0,5,7,0
"92",6,"2013-06-01",7,"0",0,16,7,0
"93",7,"2013-06-02",14,"0",0,15,7,0
"94",6,"2013-06-08",6,"0",0,10,7,0
"95",7,"2013-06-09",12,"0",0,13,7,0
"96",1,"2013-06-10",6,"0",0,6,7,0
"97",2,"2013-06-11",6,"0",0,6,7,0
"98",3,"2013-06-12",6,"0",0,16,7,0
"99",4,"2013-06-13",6,"0",0,13,7,0
"100",5,"2013-06-14",6,"0",0,8,7,0
"101",6,"2013-06-15",6,"0",0,14,7,0
"102",7,"2013-06-16",14,"0",0,7,7,0
"103",6,"2013-06-22",7,"0",0,13,7,0
"104",7,"2013-06-23",14,"0",0,7,7,0
"105",1,"2013-06-24",5,"0",1,5,7,0
"106",2,"2013-06-25",6,"0",1,12,7,0
"107",3,"2013-06-26",6,"0",1,10,7,0
"108",4,"2013-06-27",6,"0",1,12,7,0
"109",5,"2013-06-28",7,"0",1,14,7,0
"110",6,"2013-06-29",7,"0",0,10,7,0
"111",7,"2013-06-30",15,"0",0,14,7,0
"112",6,"2013-07-06",5,"0",0,6,7,0
"113",7,"2013-07-07",12,"0",0,14,7,0
"114",1,"2013-07-08",7,"0",1,8,7,0
"115",2,"2013-07-09",6,"0",1,13,7,0
"116",3,"2013-07-10",6,"0",1,7,7,0
"117",4,"2013-07-11",6,"0",1,8,7,0
"118",5,"2013-07-12",6,"0",1,12,7,0
"119",6,"2013-07-13",6,"0",0,6,7,0
"120",7,"2013-07-14",14,"0",0,10,7,0
"121",6,"2013-07-20",6,"0",0,10,7,0
